Density_(veh/hr)_TL,Density_(veh/hr)_CAwSD4WI,Density_(veh/hr)_RN,Time_(secs)
0.29,0.24,0.78,75.2
0.3,0.24,0.75,75.3
0.27,0.25,0.72,75.4
0.28,0.24,0.81,75.5
0.28,0.25,0.78,75.6
0.3,0.23,0.8,75.7
0.28,0.24,0.83,75.8
0.29,0.24,0.82,75.9
0.27,0.25,0.87,76.0
0.29,0.25,0.82,76.1
0.3,0.23,0.81,76.2
0.28,0.27,0.83,76.3
0.28,0.24,0.79,76.4
0.28,0.25,0.83,76.5
0.3,0.24,0.79,76.6
0.3,0.25,0.82,76.7
0.29,0.25,0.73,76.8
0.27,0.27,0.77,76.9
0.3,0.25,0.7,77.0
0.3,0.26,0.77,77.1
0.32,0.23,0.72,77.2
0.29,0.25,0.76,77.3
0.29,0.24,0.79,77.4
0.32,0.24,0.77,77.5
0.29,0.24,0.73,77.6
0.31,0.23,0.73,77.7
0.3,0.24,0.72,77.8
0.32,0.23,0.75,77.9
0.32,0.25,0.82,78.0
0.31,0.25,0.77,78.1
0.31,0.23,0.82,78.2
0.32,0.22,0.76,78.3
0.32,0.25,0.69,78.4
0.33,0.25,0.77,78.5
0.32,0.25,0.73,78.6
0.31,0.24,0.78,78.7
0.33,0.24,0.71,78.8
0.33,0.24,0.77,78.9
0.31,0.24,0.77,79.0
0.32,0.25,0.74,79.1
0.32,0.23,0.78,79.2
0.31,0.24,0.8,79.3
0.31,0.25,0.72,79.4
0.34,0.25,0.76,79.5
0.34,0.23,0.77,79.6
0.35,0.24,0.77,79.7
0.32,0.24,0.78,79.8
0.34,0.23,0.77,79.9
0.33,0.25,0.76,80.0
0.36,0.25,0.69,80.1
0.32,0.23,0.75,80.2
0.36,0.24,0.73,80.3
0.35,0.23,0.72,80.4
0.37,0.23,0.75,80.5
0.34,0.23,0.75,80.6
0.36,0.24,0.78,80.7
0.36,0.25,0.77,80.8
0.36,0.24,0.74,80.9
0.36,0.24,0.74,81.0
0.33,0.24,0.81,81.1
0.34,0.24,0.77,81.2
0.33,0.25,0.79,81.3
0.32,0.24,0.8,81.4
0.31,0.23,0.73,81.5
0.34,0.25,0.75,81.6
0.35,0.24,0.76,81.7
0.32,0.25,0.69,81.8
0.32,0.25,0.71,81.9
0.34,0.23,0.72,82.0
0.34,0.24,0.72,82.1
0.34,0.26,0.72,82.2
0.34,0.24,0.73,82.3
0.31,0.27,0.72,82.4
0.34,0.26,0.75,82.5
0.34,0.25,0.74,82.6
0.34,0.24,0.71,82.7
0.37,0.25,0.76,82.8
0.34,0.23,0.69,82.9
0.36,0.25,0.73,83.0
0.34,0.23,0.69,83.1
0.35,0.24,0.73,83.2
0.33,0.27,0.68,83.3
0.38,0.25,0.7,83.4
0.36,0.24,0.73,83.5
0.33,0.23,0.66,83.6
0.34,0.24,0.64,83.7
0.36,0.24,0.75,83.8
0.36,0.27,0.64,83.9
0.34,0.26,0.71,84.0
0.35,0.25,0.73,84.1
0.37,0.25,0.65,84.2
0.35,0.27,0.67,84.3
0.37,0.27,0.72,84.4
0.34,0.26,0.74,84.5
0.35,0.23,0.7,84.6
0.36,0.26,0.7,84.7
0.34,0.28,0.72,84.8
0.36,0.26,0.67,84.9
0.36,0.26,0.72,85.0
0.35,0.26,0.65,85.1
0.35,0.25,0.67,85.2
